Store,Date,Weekly_Sales,Holiday_Flag,Column1,Temperature,Fuel_Price,CPI,Unemployment
1,2/4/2011,1606629.58,0,Non Holiday,42.27,2.989,212.57,7.74
1,2/11/2011,1649614.93,1,Holiday,36.39,3.022,212.94,7.74
1,2/18/2011,1686842.78,0,Non Holiday,57.36,3.045,213.25,7.74
1,2/25/2011,1456800.28,0,Non Holiday,62.9,3.065,213.54,7.74
1,3/4/2011,1636263.41,0,Non Holiday,59.58,3.288,213.82,7.74
1,3/11/2011,1553191.63,0,Non Holiday,53.56,3.459,214.11,7.74
1,3/18/2011,1576818.06,0,Non Holiday,62.76,3.488,214.36,7.74
1,3/25/2011,1541102.38,0,Non Holiday,69.97,3.473,214.6,7.74
1,4/1/2011,1495064.75,0,Non Holiday,59.17,3.524,214.84,7.68
1,4/8/2011,1614259.35,0,Non Holiday,67.84,3.622,215.07,7.68
1,4/15/2011,1559889,0,Non Holiday,71.27,3.743,215.29,7.68
1,4/22/2011,1564819.81,0,Non Holiday,72.99,3.807,215.46,7.68
1,4/29/2011,1455090.69,0,Non Holiday,72.03,3.81,215.63,7.68
1,5/6/2011,1629391.28,0,Non Holiday,64.61,3.906,215.8,7.68
1,5/13/2011,1604775.58,0,Non Holiday,75.64,3.899,215.96,7.68
1,5/20/2011,1428218.27,0,Non Holiday,67.63,3.907,215.73,7.68
1,5/27/2011,1466046.67,0,Non Holiday,77.72,3.786,215.5,7.68
1,6/3/2011,1635078.41,0,Non Holiday,83,3.699,215.27,7.68
1,6/10/2011,1588948.32,0,Non Holiday,83.13,3.648,215.04,7.68
1,6/17/2011,1532114.86,0,Non Holiday,86.41,3.637,215,7.68
1,6/24/2011,1438830.15,0,Non Holiday,83.58,3.594,215.09,7.68
1,7/1/2011,1488538.09,0,Non Holiday,85.55,3.524,215.18,7.96
1,7/8/2011,1534849.64,0,Non Holiday,85.83,3.48,215.28,7.96
1,7/15/2011,1455119.97,0,Non Holiday,88.54,3.575,215.36,7.96
1,7/22/2011,1396926.82,0,Non Holiday,85.77,3.651,215.42,7.96
1,7/29/2011,1352219.79,0,Non Holiday,86.83,3.682,215.48,7.96
1,8/5/2011,1624383.75,0,Non Holiday,91.65,3.684,215.54,7.96
1,8/12/2011,1525147.09,0,Non Holiday,90.76,3.638,215.61,7.96
1,8/19/2011,1530761.43,0,Non Holiday,89.94,3.554,215.67,7.96
1,8/26/2011,1464693.46,0,Non Holiday,87.96,3.523,215.73,7.96
1,9/2/2011,1550229.22,0,Non Holiday,87.83,3.533,215.8,7.96
1,9/9/2011,1540471.24,1,Holiday,76,3.546,215.86,7.96
1,9/16/2011,1514259.78,0,Non Holiday,79.94,3.526,216.04,7.96
1,9/23/2011,1380020.27,0,Non Holiday,75.8,3.467,216.38,7.96
1,9/30/2011,1394561.83,0,Non Holiday,79.69,3.355,216.71,7.96
1,10/7/2011,1630989.95,0,Non Holiday,69.31,3.285,217.05,7.87
1,10/14/2011,1493525.93,0,Non Holiday,71.74,3.274,217.36,7.87
1,10/21/2011,1502562.78,0,Non Holiday,63.71,3.353,217.52,7.87
1,10/28/2011,1445249.09,0,Non Holiday,66.57,3.372,217.68,7.87
1,11/4/2011,1697229.58,0,Non Holiday,54.98,3.332,217.84,7.87
1,11/11/2011,1594938.89,0,Non Holiday,59.11,3.297,218,7.87
1,11/18/2011,1539483.7,0,Non Holiday,62.25,3.308,218.22,7.87
1,11/25/2011,2033320.66,1,Holiday,60.14,3.236,218.47,7.87
1,12/2/2011,1584083.95,0,Non Holiday,48.91,3.172,218.71,7.87
1,12/9/2011,1799682.38,0,Non Holiday,43.93,3.158,218.96,7.87
1,12/16/2011,1881176.67,0,Non Holiday,51.63,3.159,219.18,7.87
1,12/23/2011,2270188.99,0,Non Holiday,47.96,3.112,219.36,7.87
1,12/30/2011,1497462.72,1,Holiday,44.55,3.129,219.54,7.87
1,1/6/2012,1550369.92,0,Non Holiday,49.01,3.157,219.71,7.35
1,1/13/2012,1459601.17,0,Non Holiday,48.53,3.261,219.89,7.35
1,1/20/2012,1394393.84,0,Non Holiday,54.11,3.268,219.99,7.35
1,1/27/2012,1319325.59,0,Non Holiday,54.26,3.29,220.08,7.35
1,2/3/2012,1636339.65,0,Non Holiday,56.55,3.36,220.17,7.35
1,2/10/2012,1802477.43,1,Holiday,48.02,3.409,220.27,7.35
1,2/17/2012,1819870,0,Non Holiday,45.32,3.51,220.43,7.35
1,2/24/2012,1539387.83,0,Non Holiday,57.25,3.555,220.64,7.35
1,3/2/2012,1688420.76,0,Non Holiday,60.96,3.63,220.85,7.35
1,3/9/2012,1675431.16,0,Non Holiday,58.76,3.669,221.06,7.35
1,3/16/2012,1677472.78,0,Non Holiday,64.74,3.734,221.21,7.35
1,3/23/2012,1511068.07,0,Non Holiday,65.93,3.787,221.29,7.35
1,3/30/2012,1649604.63,0,Non Holiday,67.61,3.845,221.36,7.35
1,4/6/2012,1899676.88,0,Non Holiday,70.43,3.891,221.44,7.14
1,4/13/2012,1621031.7,0,Non Holiday,69.07,3.891,221.51,7.14
1,4/20/2012,1521577.87,0,Non Holiday,66.76,3.877,221.56,7.14
1,4/27/2012,1468928.37,0,Non Holiday,67.23,3.814,221.62,7.14
1,5/4/2012,1684519.99,0,Non Holiday,75.55,3.749,221.67,7.14
1,5/11/2012,1611096.05,0,Non Holiday,73.77,3.688,221.73,7.14
1,5/18/2012,1595901.87,0,Non Holiday,70.33,3.63,221.74,7.14
1,5/25/2012,1555444.55,0,Non Holiday,77.22,3.561,221.74,7.14
1,6/1/2012,1624477.58,0,Non Holiday,77.95,3.501,221.75,7.14
1,6/8/2012,1697230.96,0,Non Holiday,78.3,3.452,221.75,7.14
1,6/15/2012,1630607,0,Non Holiday,79.35,3.393,221.76,7.14
1,6/22/2012,1527845.81,0,Non Holiday,78.39,3.346,221.8,7.14
1,6/29/2012,1540421.49,0,Non Holiday,84.88,3.286,221.84,7.14
1,7/6/2012,1769854.16,0,Non Holiday,81.57,3.227,221.88,6.91
1,7/13/2012,1527014.04,0,Non Holiday,77.12,3.256,221.92,6.91
1,7/20/2012,1497954.76,0,Non Holiday,80.42,3.311,221.93,6.91
1,7/27/2012,1439123.71,0,Non Holiday,82.66,3.407,221.94,6.91
1,8/3/2012,1631135.79,0,Non Holiday,86.11,3.417,221.95,6.91
1,8/10/2012,1592409.97,0,Non Holiday,85.05,3.494,221.96,6.91
1,8/17/2012,1597868.05,0,Non Holiday,84.85,3.571,222.04,6.91
1,8/24/2012,1494122.38,0,Non Holiday,77.66,3.62,222.17,6.91
1,8/31/2012,1582083.4,0,Non Holiday,80.49,3.638,222.31,6.91
1,9/7/2012,1661767.33,1,Holiday,83.96,3.73,222.44,6.91
1,9/14/2012,1517428.87,0,Non Holiday,74.97,3.717,222.58,6.91
1,9/21/2012,1506126.06,0,Non Holiday,69.87,3.721,222.78,6.91
1,9/28/2012,1437059.26,0,Non Holiday,76.08,3.666,222.98,6.91
1,10/5/2012,1670785.97,0,Non Holiday,68.55,3.617,223.18,6.57
1,10/12/2012,1573072.81,0,Non Holiday,62.99,3.601,223.38,6.57
1,10/19/2012,1508068.77,0,Non Holiday,67.97,3.594,223.43,6.57
1,10/26/2012,1493659.74,0,Non Holiday,69.16,3.506,223.44,6.57
2,2/5/2010,2136989.46,0,Non Holiday,40.19,2.572,210.75,8.32
2,2/12/2010,2137809.5,1,Holiday,38.49,2.548,210.9,8.32
2,2/19/2010,2124451.54,0,Non Holiday,39.69,2.514,210.95,8.32
2,2/26/2010,1865097.27,0,Non Holiday,46.1,2.561,210.98,8.32
2,3/5/2010,1991013.13,0,Non Holiday,47.17,2.625,211.01,8.32
2,3/12/2010,1990483.78,0,Non Holiday,57.56,2.667,211.04,8.32
2,3/19/2010,1946070.88,0,Non Holiday,54.52,2.72,210.87,8.32
2,3/26/2010,1750197.81,0,Non Holiday,51.26,2.732,210.68,8.32
2,4/2/2010,2066187.72,0,Non Holiday,63.27,2.719,210.48,8.2
2,4/9/2010,1954689.21,0,Non Holiday,65.41,2.77,210.28,8.2
2,4/16/2010,1874957.94,0,Non Holiday,68.07,2.808,210.15,8.2
2,4/23/2010,1821990.93,0,Non Holiday,65.11,2.795,210.1,8.2
2,4/30/2010,1802450.29,0,Non Holiday,66.98,2.78,210.05,8.2
2,5/7/2010,2042581.71,0,Non Holiday,71.28,2.835,210,8.2
2,5/14/2010,1880752.36,0,Non Holiday,73.31,2.854,210,8.2
2,5/21/2010,1896937.1,0,Non Holiday,74.83,2.826,210.28,8.2
2,5/28/2010,1957113.89,0,Non Holiday,81.13,2.759,210.56,8.2
2,6/4/2010,2102539.93,0,Non Holiday,81.81,2.705,210.83,8.2
2,6/11/2010,2025538.76,0,Non Holiday,83.4,2.668,211.11,8.2
2,6/18/2010,2001636.96,0,Non Holiday,85.81,2.637,211.11,8.2
2,6/25/2010,1939927.09,0,Non Holiday,86.26,2.653,211,8.2
2,7/2/2010,2003940.64,0,Non Holiday,82.74,2.669,210.88,8.1
2,7/9/2010,1880902.62,0,Non Holiday,82.59,2.642,210.77,8.1
2,7/16/2010,1845879.79,0,Non Holiday,85.32,2.623,210.76,8.1
2,7/23/2010,1781717.71,0,Non Holiday,87.66,2.608,210.89,8.1
2,7/30/2010,1804246.16,0,Non Holiday,83.49,2.64,211.03,8.1
2,8/6/2010,1991909.98,0,Non Holiday,89.53,2.627,211.16,8.1
2,8/13/2010,1895601.05,0,Non Holiday,89.05,2.692,211.3,8.1
2,8/20/2010,1964335.23,0,Non Holiday,88.7,2.664,211.26,8.1
2,8/27/2010,1863840.49,0,Non Holiday,87.12,2.619,211.22,8.1
2,9/3/2010,1904608.09,0,Non Holiday,81.83,2.577,211.19,8.1
2,9/10/2010,1839128.83,1,Holiday,79.09,2.565,211.15,8.1
2,9/17/2010,1793903.6,0,Non Holiday,82.05,2.582,211.18,8.1
2,9/24/2010,1724557.22,0,Non Holiday,81.79,2.624,211.26,8.1
2,10/1/2010,1827440.43,0,Non Holiday,69.24,2.603,211.33,8.16
2,10/8/2010,1849921.44,0,Non Holiday,63.19,2.633,211.4,8.16
2,10/15/2010,1794355.49,0,Non Holiday,65.8,2.72,211.47,8.16
2,10/22/2010,1737947.64,0,Non Holiday,68.5,2.725,211.52,8.16
2,10/29/2010,1802755.11,0,Non Holiday,66.24,2.716,211.57,8.16
2,11/5/2010,1939061.41,0,Non Holiday,57.85,2.689,211.61,8.16
2,11/12/2010,1916812.74,0,Non Holiday,59.69,2.728,211.66,8.16
2,11/19/2010,1956739.17,0,Non Holiday,50.81,2.771,211.55,8.16
2,11/26/2010,2658725.29,1,Holiday,62.98,2.735,211.41,8.16
2,12/3/2010,2015781.27,0,Non Holiday,49.33,2.708,211.27,8.16
2,12/10/2010,2378726.55,0,Non Holiday,45.5,2.843,211.12,8.16
2,12/17/2010,2609166.75,0,Non Holiday,47.55,2.869,211.06,8.16
2,12/24/2010,3436007.68,0,Non Holiday,49.97,2.886,211.06,8.16
2,12/31/2010,1750434.55,1,Holiday,47.3,2.943,211.06,8.16
2,1/7/2011,1758050.79,0,Non Holiday,44.69,2.976,211.06,8.03
2,1/14/2011,1744193.58,0,Non Holiday,33.02,2.983,211.12,8.03
2,1/21/2011,1751384.9,0,Non Holiday,41.4,3.016,211.49,8.03
2,1/28/2011,1695371.68,0,Non Holiday,42.83,3.01,211.86,8.03
2,2/4/2011,1929346.23,0,Non Holiday,38.25,2.989,212.22,8.03
2,2/11/2011,2168041.61,1,Holiday,33.19,3.022,212.59,8.03
2,2/18/2011,2080884.82,0,Non Holiday,57.83,3.045,212.9,8.03
2,2/25/2011,1833511.08,0,Non Holiday,60.8,3.065,213.19,8.03
2,3/4/2011,1981607.78,0,Non Holiday,57.77,3.288,213.48,8.03
2,3/11/2011,1879107.31,0,Non Holiday,52.7,3.459,213.76,8.03
2,3/18/2011,1902557.66,0,Non Holiday,62.32,3.488,214.02,8.03
2,3/25/2011,1766162.05,0,Non Holiday,69.42,3.473,214.25,8.03
2,4/1/2011,1800171.36,0,Non Holiday,55.43,3.524,214.49,7.93
2,4/8/2011,1847552.61,0,Non Holiday,67,3.622,214.73,7.93
2,4/15/2011,1856467.84,0,Non Holiday,69.48,3.743,214.94,7.93
2,4/22/2011,1886339.6,0,Non Holiday,69.39,3.807,215.11,7.93
2,4/29/2011,1745545.28,0,Non Holiday,69.21,3.81,215.28,7.93
2,5/6/2011,1837743.6,0,Non Holiday,61.48,3.906,215.44,7.93
2,5/13/2011,1838513.07,0,Non Holiday,74.61,3.899,215.61,7.93
2,5/20/2011,1688281.86,0,Non Holiday,67.14,3.907,215.38,7.93
2,5/27/2011,1797732.56,0,Non Holiday,76.42,3.786,215.15,7.93
2,6/3/2011,1933756.21,0,Non Holiday,83.07,3.699,214.93,7.93
2,6/10/2011,1929153.16,0,Non Holiday,83.4,3.648,214.7,7.93
2,6/17/2011,1953771.99,0,Non Holiday,86.53,3.637,214.65,7.93
2,6/24/2011,1790925.8,0,Non Holiday,85.17,3.594,214.74,7.93
2,7/1/2011,1866243,0,Non Holiday,85.69,3.524,214.84,7.85
2,7/8/2011,1853161.99,0,Non Holiday,87.7,3.48,214.93,7.85
2,7/15/2011,1785187.29,0,Non Holiday,89.83,3.575,215.01,7.85
2,7/22/2011,1743816.41,0,Non Holiday,89.34,3.651,215.07,7.85
2,7/29/2011,1680693.06,0,Non Holiday,90.07,3.682,215.14,7.85
2,8/5/2011,1876704.26,0,Non Holiday,93.34,3.684,215.2,7.85
2,8/12/2011,1812768.26,0,Non Holiday,91.58,3.638,215.26,7.85
2,8/19/2011,1844094.59,0,Non Holiday,89.86,3.554,215.32,7.85
2,8/26/2011,1821139.91,0,Non Holiday,90.45,3.523,215.39,7.85
2,9/2/2011,1809119.7,0,Non Holiday,89.64,3.533,215.45,7.85
2,9/9/2011,1748000.65,1,Holiday,77.97,3.546,215.51,7.85
2,9/16/2011,1691439.52,0,Non Holiday,78.85,3.526,215.69,7.85
2,9/23/2011,1669299.78,0,Non Holiday,75.58,3.467,216.03,7.85
2,9/30/2011,1650394.44,0,Non Holiday,78.14,3.355,216.36,7.85
2,10/7/2011,1837553.43,0,Non Holiday,69.92,3.285,216.7,7.44
2,10/14/2011,1743882.19,0,Non Holiday,71.67,3.274,217,7.44
2,10/21/2011,1834680.25,0,Non Holiday,64.53,3.353,217.17,7.44
2,10/28/2011,1769296.25,0,Non Holiday,65.87,3.372,217.33,7.44
2,11/4/2011,1959707.9,0,Non Holiday,55.53,3.332,217.49,7.44
2,11/11/2011,1920725.15,0,Non Holiday,59.33,3.297,217.65,7.44
2,11/18/2011,1902762.5,0,Non Holiday,62.01,3.308,217.87,7.44
2,11/25/2011,2614202.3,1,Holiday,56.36,3.236,218.11,7.44
2,12/2/2011,1954952,0,Non Holiday,48.74,3.172,218.36,7.44
2,12/9/2011,2290549.32,0,Non Holiday,41.76,3.158,218.61,7.44
2,12/16/2011,2432736.52,0,Non Holiday,50.13,3.159,218.82,7.44
2,12/23/2011,3224369.8,0,Non Holiday,46.66,3.112,219,7.44
2,12/30/2011,1874226.52,1,Holiday,44.57,3.129,219.18,7.44
2,1/6/2012,1799520.14,0,Non Holiday,46.75,3.157,219.36,7.06
2,1/13/2012,1744725.48,0,Non Holiday,45.99,3.261,219.53,7.06
2,1/20/2012,1711769.11,0,Non Holiday,51.7,3.268,219.63,7.06
2,1/27/2012,1660906.14,0,Non Holiday,50.5,3.29,219.72,7.06
2,2/3/2012,1935299.94,0,Non Holiday,55.21,3.36,219.81,7.06
2,2/10/2012,2103322.68,1,Holiday,46.98,3.409,219.9,7.06
2,2/17/2012,2196688.46,0,Non Holiday,43.82,3.51,220.07,7.06
2,2/24/2012,1861802.7,0,Non Holiday,54.63,3.555,220.28,7.06
2,3/2/2012,1952555.66,0,Non Holiday,58.79,3.63,220.49,7.06
2,3/9/2012,1937628.26,0,Non Holiday,57.11,3.669,220.7,7.06
2,3/16/2012,1976082.13,0,Non Holiday,63.68,3.734,220.85,7.06
2,3/23/2012,1790439.16,0,Non Holiday,64.01,3.787,220.92,7.06
2,3/30/2012,1857480.84,0,Non Holiday,66.83,3.845,221,7.06
2,4/6/2012,2129035.91,0,Non Holiday,68.43,3.891,221.07,6.89
2,4/13/2012,1935869.1,0,Non Holiday,68.08,3.891,221.15,6.89
2,4/20/2012,1847344.45,0,Non Holiday,65.69,3.877,221.2,6.89
2,4/27/2012,1764133.09,0,Non Holiday,67.2,3.814,221.26,6.89
2,5/4/2012,1923957.09,0,Non Holiday,76.73,3.749,221.31,6.89
2,5/11/2012,1917520.99,0,Non Holiday,73.87,3.688,221.36,6.89
2,5/18/2012,2000940.67,0,Non Holiday,71.27,3.63,221.38,6.89
2,5/25/2012,1912791.09,0,Non Holiday,78.19,3.561,221.38,6.89
2,6/1/2012,1910092.37,0,Non Holiday,78.38,3.501,221.39,6.89
2,6/8/2012,2010216.49,0,Non Holiday,78.69,3.452,221.39,6.89
2,6/15/2012,1962924.3,0,Non Holiday,80.56,3.393,221.4,6.89
2,6/22/2012,1887733.21,0,Non Holiday,81.04,3.346,221.44,6.89
2,6/29/2012,1881046.12,0,Non Holiday,86.32,3.286,221.48,6.89
2,7/6/2012,2041507.4,0,Non Holiday,84.2,3.227,221.52,6.56
2,7/13/2012,1830075.13,0,Non Holiday,80.17,3.256,221.56,6.56
2,7/20/2012,1819666.46,0,Non Holiday,83.23,3.311,221.57,6.56
2,7/27/2012,1757923.88,0,Non Holiday,86.37,3.407,221.58,6.56
2,8/3/2012,1946104.64,0,Non Holiday,90.22,3.417,221.59,6.56
2,8/10/2012,1866719.96,0,Non Holiday,88.55,3.494,221.6,6.56
2,8/17/2012,1928016.01,0,Non Holiday,84.79,3.571,221.68,6.56
2,8/24/2012,1876788.15,0,Non Holiday,76.91,3.62,221.81,6.56
2,8/31/2012,1947083.3,0,Non Holiday,82.64,3.638,221.94,6.56
2,9/7/2012,1898777.07,1,Holiday,87.65,3.73,222.07,6.56
2,9/14/2012,1814806.63,0,Non Holiday,75.88,3.717,222.22,6.56
2,9/21/2012,1829415.67,0,Non Holiday,71.09,3.721,222.42,6.56
2,9/28/2012,1746470.56,0,Non Holiday,79.45,3.666,222.62,6.56
2,10/5/2012,1998321.04,0,Non Holiday,70.27,3.617,222.82,6.17
2,10/12/2012,1900745.13,0,Non Holiday,60.97,3.601,223.02,6.17
2,10/19/2012,1847990.41,0,Non Holiday,68.08,3.594,223.06,6.17
2,10/26/2012,1834458.35,0,Non Holiday,69.79,3.506,223.08,6.17
3,2/5/2010,461622.22,0,Non Holiday,45.71,2.572,214.42,7.37
3,2/12/2010,420728.96,1,Holiday,47.93,2.548,214.57,7.37
3,2/19/2010,421642.19,0,Non Holiday,47.07,2.514,214.62,7.37
3,2/26/2010,407204.86,0,Non Holiday,52.05,2.561,214.65,7.37
3,3/5/2010,415202.04,0,Non Holiday,53.04,2.625,214.68,7.37
3,3/12/2010,384200.69,0,Non Holiday,63.08,2.667,214.7,7.37
3,3/19/2010,375328.59,0,Non Holiday,60.42,2.72,214.53,7.37
3,3/26/2010,359949.27,0,Non Holiday,57.06,2.732,214.32,7.37
3,4/2/2010,423294.4,0,Non Holiday,65.56,2.719,214.12,7.34
3,4/9/2010,415870.28,0,Non Holiday,68,2.77,213.91,7.34
3,4/16/2010,354993.26,0,Non Holiday,66.98,2.808,213.77,7.34
3,4/23/2010,339976.65,0,Non Holiday,67.87,2.795,213.72,7.34
3,4/30/2010,361248.39,0,Non Holiday,70.24,2.78,213.67,7.34
3,5/7/2010,399323.86,0,Non Holiday,73.47,2.835,213.62,7.34
3,5/14/2010,384357.94,0,Non Holiday,77.18,2.854,213.62,7.34
3,5/21/2010,343763.17,0,Non Holiday,75.81,2.826,213.91,7.34
3,5/28/2010,350089.23,0,Non Holiday,78.6,2.759,214.2,7.34
3,6/4/2010,396968.8,0,Non Holiday,78.53,2.705,214.5,7.34
3,6/11/2010,355017.09,0,Non Holiday,82.1,2.668,214.79,7.34
3,6/18/2010,364076.85,0,Non Holiday,83.52,2.637,214.79,7.34
3,6/25/2010,357346.48,0,Non Holiday,83.79,2.653,214.67,7.34
3,7/2/2010,381151.72,0,Non Holiday,82.2,2.669,214.55,7.35
3,7/9/2010,349214.18,0,Non Holiday,81.75,2.642,214.43,7.35
3,7/16/2010,352728.78,0,Non Holiday,84.32,2.623,214.42,7.35
3,7/23/2010,352864.49,0,Non Holiday,83.32,2.608,214.56,7.35
3,7/30/2010,347955.05,0,Non Holiday,82.04,2.64,214.7,7.35
3,8/6/2010,402635.76,0,Non Holiday,85.13,2.627,214.83,7.35
3,8/13/2010,339597.38,0,Non Holiday,86.74,2.692,214.97,7.35
3,8/20/2010,351728.21,0,Non Holiday,88.02,2.664,214.93,7.35
3,8/27/2010,362134.09,0,Non Holiday,86.15,2.619,214.89,7.35
3,9/3/2010,366473.97,0,Non Holiday,84.16,2.577,214.85,7.35
3,9/10/2010,352260.97,1,Holiday,80.84,2.565,214.81,7.35
3,9/17/2010,363064.64,0,Non Holiday,82.36,2.582,214.83,7.35
3,9/24/2010,355626.87,0,Non Holiday,76.9,2.624,214.91,7.35
3,10/1/2010,358784.1,0,Non Holiday,73.6,2.603,214.98,7.56
3,10/8/2010,395107.35,0,Non Holiday,66.99,2.633,215.06,7.56
3,10/15/2010,345584.39,0,Non Holiday,69.71,2.72,215.13,7.56
3,10/22/2010,348895.98,0,Non Holiday,71.64,2.725,215.18,7.56
3,10/29/2010,348591.74,0,Non Holiday,72.04,2.716,215.23,7.56
3,11/5/2010,423175.56,0,Non Holiday,62.94,2.689,215.28,7.56
3,11/12/2010,386635.03,0,Non Holiday,62.79,2.728,215.33,7.56
3,11/19/2010,372545.32,0,Non Holiday,57.72,2.771,215.21,7.56
3,11/26/2010,565567.84,1,Holiday,68.71,2.735,215.06,7.56
3,12/3/2010,476420.77,0,Non Holiday,53.76,2.708,214.92,7.56
3,12/10/2010,467642.03,0,Non Holiday,51.13,2.843,214.77,7.56
3,12/17/2010,498159.39,0,Non Holiday,52.2,2.869,214.7,7.56
3,12/24/2010,605990.41,0,Non Holiday,57.16,2.886,214.7,7.56
3,12/31/2010,382677.76,1,Holiday,53.2,2.943,214.7,7.56
3,1/7/2011,378241.34,0,Non Holiday,53.35,2.976,214.7,7.55
3,1/14/2011,381061.1,0,Non Holiday,44.76,2.983,214.75,7.55
3,1/21/2011,350876.7,0,Non Holiday,50.74,3.016,215.13,7.55
3,1/28/2011,364866.24,0,Non Holiday,48.71,3.01,215.51,7.55
3,2/4/2011,438516.53,0,Non Holiday,45.95,2.989,215.89,7.55
3,2/11/2011,430526.21,1,Holiday,43.57,3.022,216.27,7.55
3,2/18/2011,432782.1,0,Non Holiday,61.58,3.045,216.58,7.55
3,2/25/2011,397211.19,0,Non Holiday,67.4,3.065,216.88,7.55
3,3/4/2011,437084.51,0,Non Holiday,65.11,3.288,217.17,7.55
3,3/11/2011,404753.3,0,Non Holiday,61.29,3.459,217.47,7.55
3,3/18/2011,392109.51,0,Non Holiday,69.47,3.488,217.72,7.55
3,3/25/2011,380683.67,0,Non Holiday,72.94,3.473,217.97,7.55
3,4/1/2011,374556.08,0,Non Holiday,68.76,3.524,218.21,7.57
3,4/8/2011,384075.31,0,Non Holiday,72.55,3.622,218.46,7.57
3,4/15/2011,366250.69,0,Non Holiday,75.88,3.743,218.68,7.57
3,4/22/2011,391860.04,0,Non Holiday,76.91,3.807,218.85,7.57
3,4/29/2011,367405.4,0,Non Holiday,78.69,3.81,219.02,7.57
